hit_id	worker_id	worktime_s	item_id	text
306996CF6WIITTJBR6Q44WPDCQ11BX	1717708c7af5468188e808a8d09b5c98	380	potato_3_2	A single small red skinned potato is laying on its side with the pointier end pointing left and two dimpled eye facing me.
306996CF6WIITTJBR6Q44WPDCQ11BX	1717708c7af5468188e808a8d09b5c98	380	can_opener_4_3	The manual can opener has a black plastic handle that points away from me and to the left.
306996CF6WIITTJBR6Q44WPDCQ11BX	1717708c7af5468188e808a8d09b5c98	380	measuring_tape_3_3	A pink and black measuring tape is laying on its back with the tape end pointing at me and to the right.
306996CF6WIITTJBR6Q44WPDCQ11BX	1717708c7af5468188e808a8d09b5c98	380	fork_3_1	A silver metal fork is laying with its tines pointing upward and the ends facing away from me and to the left.
306996CF6WIITTJBR6Q44WPDCQ11BX	1717708c7af5468188e808a8d09b5c98	380	can_opener_3_4	A manual can opener with a light blue plastic handle lays on it's side horizontally in front of me. The handle to the turning gear is closest to me and on my right side.
306996CF6WIITTJBR6Q44WPDCQ11BX	2f17ff0ad50c48879542d85337051fa4	87	potato_3_2	A medium sized red potato.
306996CF6WIITTJBR6Q44WPDCQ11BX	2f17ff0ad50c48879542d85337051fa4	87	can_opener_4_3	A hand can opener.
306996CF6WIITTJBR6Q44WPDCQ11BX	2f17ff0ad50c48879542d85337051fa4	87	measuring_tape_3_3	A pink and black measure tape.
306996CF6WIITTJBR6Q44WPDCQ11BX	2f17ff0ad50c48879542d85337051fa4	87	fork_3_1	A full size fork.
306996CF6WIITTJBR6Q44WPDCQ11BX	2f17ff0ad50c48879542d85337051fa4	87	can_opener_3_4	A pastel blue hand manual can opener.
306996CF6WIITTJBR6Q44WPDCQ11BX	7f2027f068cd4f83a4c11a49020599fc	42	potato_3_2	A red potato.
306996CF6WIITTJBR6Q44WPDCQ11BX	7f2027f068cd4f83a4c11a49020599fc	42	can_opener_4_3	A black can opener.
306996CF6WIITTJBR6Q44WPDCQ11BX	7f2027f068cd4f83a4c11a49020599fc	42	measuring_tape_3_3	A pink and black tape measure.
306996CF6WIITTJBR6Q44WPDCQ11BX	7f2027f068cd4f83a4c11a49020599fc	42	fork_3_1	A grey metal fork.
306996CF6WIITTJBR6Q44WPDCQ11BX	7f2027f068cd4f83a4c11a49020599fc	42	can_opener_3_4	A blue can opener.
306996CF6WIITTJBR6Q44WPDCQ11BX	a452301d87854108aeafcaa590f0fcbe	148	potato_3_2	A red potato that has not been peeled.
306996CF6WIITTJBR6Q44WPDCQ11BX	a452301d87854108aeafcaa590f0fcbe	148	can_opener_4_3	A black handled can opener.
306996CF6WIITTJBR6Q44WPDCQ11BX	a452301d87854108aeafcaa590f0fcbe	148	measuring_tape_3_3	A yellow and black tape measure.
306996CF6WIITTJBR6Q44WPDCQ11BX	a452301d87854108aeafcaa590f0fcbe	148	fork_3_1	A stainless steel dinner fork.
306996CF6WIITTJBR6Q44WPDCQ11BX	a452301d87854108aeafcaa590f0fcbe	148	can_opener_3_4	A blue handled can opener.
306996CF6WIITTJBR6Q44WPDCQ11BX	668ec905335d41e09a4f648b08c9ca44	51	potato_3_2	This is a red potato. It is irregular in shape.
306996CF6WIITTJBR6Q44WPDCQ11BX	668ec905335d41e09a4f648b08c9ca44	51	can_opener_4_3	This is a can opener. It is black with a black handle as well.
306996CF6WIITTJBR6Q44WPDCQ11BX	668ec905335d41e09a4f648b08c9ca44	51	measuring_tape_3_3	This is a measuring tape roll. It is black and pink.
306996CF6WIITTJBR6Q44WPDCQ11BX	668ec905335d41e09a4f648b08c9ca44	51	fork_3_1	This is a fork. It is silver.
306996CF6WIITTJBR6Q44WPDCQ11BX	668ec905335d41e09a4f648b08c9ca44	51	can_opener_3_4	This is a can opener. It is light blue in color.
306996CF6WIITTJBR6Q44WPDCQ11BX	9e3b9c4525c64df5afe4ea4723c2e115	210	potato_3_2	"On the turntable is a small, red potato with dimples."
306996CF6WIITTJBR6Q44WPDCQ11BX	9e3b9c4525c64df5afe4ea4723c2e115	210	can_opener_4_3	On the turntable is a metal can opener with a black plastic handle and lever.
306996CF6WIITTJBR6Q44WPDCQ11BX	9e3b9c4525c64df5afe4ea4723c2e115	210	measuring_tape_3_3	On the turntable is a measuring tape such as a carpenter would use. It is black and yellow plastic.
306996CF6WIITTJBR6Q44WPDCQ11BX	9e3b9c4525c64df5afe4ea4723c2e115	210	fork_3_1	"On the turntable is a shiny, silver fork."
306996CF6WIITTJBR6Q44WPDCQ11BX	9e3b9c4525c64df5afe4ea4723c2e115	210	can_opener_3_4	On the turntable is a metal can opener with a light blue plastic handle and lever. It looks kind of old-fashioned.
306996CF6WIITTJBR6Q44WPDCQ11BX	7bddc64593794bfda8f8bf7249dc32e5	49	potato_3_2	a red potato
306996CF6WIITTJBR6Q44WPDCQ11BX	7bddc64593794bfda8f8bf7249dc32e5	49	can_opener_4_3	a manual can opener
306996CF6WIITTJBR6Q44WPDCQ11BX	7bddc64593794bfda8f8bf7249dc32e5	49	measuring_tape_3_3	a pink measuring tape
306996CF6WIITTJBR6Q44WPDCQ11BX	7bddc64593794bfda8f8bf7249dc32e5	49	fork_3_1	a silver fork
306996CF6WIITTJBR6Q44WPDCQ11BX	7bddc64593794bfda8f8bf7249dc32e5	49	can_opener_3_4	a blue manual measuring tape
306996CF6WIITTJBR6Q44WPDCQ11BX	00da42c49497457481af9c4d191ffed3	108	potato_3_2	"This is a red, uncut, whole potato."
306996CF6WIITTJBR6Q44WPDCQ11BX	00da42c49497457481af9c4d191ffed3	108	can_opener_4_3	This is a black manual can opener.
306996CF6WIITTJBR6Q44WPDCQ11BX	00da42c49497457481af9c4d191ffed3	108	measuring_tape_3_3	This is a pink and black manual tape measure.
306996CF6WIITTJBR6Q44WPDCQ11BX	00da42c49497457481af9c4d191ffed3	108	fork_3_1	This is a large silver fork.
